participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.age,player.gender,player.covid_positive,player.location,player.state,player.reading,player.Prolific_ID,player.crt_widget,player.crt_lake,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
3,g6m384dg,5eec9ed2f32dc20379a7934f,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.955128+00:00,1,,,1660,3,,25,Male,0,Australia,TAS,0,5eec9ed2f32dc20379a7934f,5,47,0,1,1,p0hi5zjy,,,,,0
4,pqn3h2ul,5d95738ef9e579001dda0e08,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.267649+00:00,1,,,3080,4,,61,Female,0,Australia,SA,0,5d95738ef9e579001dda0e08,5,12,0,1,1,p0hi5zjy,,,,,0
5,g9nn9rcs,5f91722d770c0206a7b90fb2,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.646350+00:00,1,,,2272,5,,27,Male,0,Australia,SA,0,5f91722d770c0206a7b90fb2,100,47,0,1,1,p0hi5zjy,,,,,0
6,wukmxu4h,5cb6d911d367600001b3aec9,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.477369+00:00,1,,,1670,6,,19,Male,0,Australia,VIC,0,5cb6d911d367600001b3aec9,5,47,0,1,1,p0hi5zjy,,,,,0
7,c7w4z1zy,5da5945be53f860019d6a52c,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.679164+00:00,1,,,1512,7,,20,Female,0,Australia,NSW,0,5da5945be53f860019d6a52c,100,24,0,1,1,p0hi5zjy,,,,,0
8,auy4l7qy,5f20a850b6d5ed3d186bc3c3,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.447348+00:00,1,,,2650,8,,35,Female,0,Australia,QLD,0,5f20a850b6d5ed3d186bc3c3,5,47,0,1,1,p0hi5zjy,,,,,0
9,epqyj5fz,5d22ebc8db936c0015be7b3c,0,405,405,payment_info,PaymentInfo,2020-11-16 06:34:46.850476+00:00,1,,,2670,9,,51,Male,0,Australia,VIC,0,5d22ebc8db936c0015be7b3c,5,47,0,1,1,p0hi5zjy,,,,,0
10,n566chks,,0,405,405,payment_info,PaymentInfo,2020-11-16 06:38:56.595558+00:00,1,,,492,10,,26,Male,0,Australia,VIC,0,test,0,0,0,1,1,p0hi5zjy,,,,,0
1,z80y0pvw,5dd7a10a3c870a72a1e95d03,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:46.721520+00:00,1,,,1418,1,,53,Male,0,Australia,NSW,0,5dd7a10a3c870a72a1e95d03,0,0,0,1,1,zelyerub,,,,,0
2,0jujzhve,5f4782fff2148f037333f7ee,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:46.783967+00:00,1,,,1426,2,,25,Female,0,Australia,VIC,0,5f4782fff2148f037333f7ee,5,47,0,1,1,zelyerub,,,,,0
3,43lyeqhp,5e83e6a205cdc31447ffddf5,0,405,405,payment_info,PaymentInfo,2020-11-16 09:16:46.873170+00:00,1,,,1265,3,,14,Male,0,Australia,VIC,0,5e83e6a205cdc31447ffddf5,0,0,0,1,1,zelyerub,,,,,0
