session.code,participant.code,participant.payoff,subsession.round_number,player.id_in_group,player.infected,player.timeout,player.cumulative_earnings,player.others_prediction,player.contribution,player.others_contribution_percentage,player.actual_payment,player.payoff,player.transmission_chance,player.second_player_contribution_0,player.second_player_contribution_1,player.second_player_contribution_2,player.second_player_contribution_3,player.second_player_contribution_4,group.total_contribution,group.total_infections,group.end_total_infections,group.total_earnings,group.lockdown,group.lockdown_number,group.lockdown_cost,group.patient_zero_switch,nTimeout,lastRoundOthers,player.age,player.gender,player.covid_positive,player.location,player.attention_check,Order
oi33rp64,0ea1a9gm,2280,13,2,0,0,840,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,1,110,1,1,90,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,14,2,1,0,940,10,0,27.5,0,100,1,0,0,0,0,0,11,1,8,930,0,1,90,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,15,2,1,0,950,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,8,8,110,1,2,90,0,0,27.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,16,2,1,0,960,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,8,1,110,1,2,90,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,17,2,1,0,1060,20,0,37.5,0,100,0.75,0,0,0,0,0,15,1,6,890,0,2,90,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,18,2,1,0,1070,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,6,110,1,3,90,0,0,37.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,19,2,0,0,1080,NA,0,0,NA,10,NA,NA,NA,NA,NA,NA,0,6,1,110,1,3,90,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,20,2,1,0,1170,20,10,42.5,10,90,0,0,0,20,30,0,18,1,6,860,0,3,90,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,21,2,1,0,1210,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,6,6,440,1,4,60,0,0,42.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,22,2,0,0,1250,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,6,1,440,1,4,60,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,23,2,1,0,1350,10,0,30,0,100,1,0,0,20,20,0,12,1,6,920,0,4,60,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,24,2,1,0,1390,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,6,6,440,1,5,60,0,0,30,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,25,2,0,0,1430,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,6,1,440,1,5,60,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,26,2,0,0,1500,20,30,40,30,70,0.12,0,20,30,30,0,19,1,3,850,0,5,60,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,27,2,1,0,1570,20,30,47.5,30,70,0.25,0,20,30,30,0,22,3,7,820,0,5,60,0,0,40,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,28,2,1,0,1610,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,7,7,440,1,6,60,0,0,47.5,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,29,2,0,0,1650,NA,0,0,NA,40,NA,NA,NA,NA,NA,NA,0,7,1,440,1,6,60,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,30,2,1,0,1730,10,20,45,20,80,0.5,0,20,30,30,0,20,1,5,640,0,6,60,0,0,0,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,31,2,1,0,1800,20,30,72.5,30,70,0,0,20,30,30,0,32,5,5,390,0,6,60,0,0,45,28,Female,0,England,Chicago,High Cost First
oi33rp64,0ea1a9gm,2280,32,2,1,0,1870,30,30,70,30,70,0,0,20,30,30,0,31,5,6,650,0,6,60,0,0,72.5,28,Female,0,England,Chicago,High Cost First
